BusinessName,DBAName,LICSTATUS,LICENSECAT,DESCRIPT,LicenseAddDtTm,DAYPHN,Location
Menton,,Active,FS,Eating & Drinking,08/31/2012 01:23:40 PM,+16177370099,"(42.35071, -71.04854)"
MERENGUE RESTAURANT,,Active,FS,Eating & Drinking,12/07/2006 01:34:36 PM,+16174455403,"(42.319179, -71.077549)"
Merrill & Co.,,Active,FS,Eating & Drinking,02/28/2014 03:02:27 PM,+16177280728,"(42.346725, -71.069653)"
METRO SUBWAY,,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:35:55 PM,+16172335600,"(42.351109, -71.07458)"
METRO SUBWAY INC.,,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:35:43 PM,+16172335600,"(42.36471, -71.06196)"
METRO SUBWAY INC.,,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:36:20 PM,+16172335600,"(42.356984, -71.053548)"
METRO SUBWAY INC.,,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:35:10 PM,+16172335600,"(42.35583, -71.0604)"
METROPOLIS CAFE,,Active,FS,Eating & Drinking,12/07/2006 01:34:43 PM,+16172470606,"(42.343257, -71.072509)"
MEZZANINE COFFEE SHOP,,Active,FS,Eating & Drinking,12/07/2006 01:34:28 PM,+10000000000,"(42.362154, -71.063531)"
Mi Casa Tu Casa Restaurant,,Active,FT,Eating & Drinking w/ Take Out,09/25/2013 09:12:47 AM,+16179905754,"(42.308104, -71.058789)"
Mi Pueblito Restaurant,,Active,FS,Eating & Drinking,06/05/2008 01:08:35 PM,+16175693787,"(42.37902, -71.03989)"
MI RANCHO RESTAURANT,,Active,FS,Eating & Drinking,12/07/2006 01:36:11 PM,+17812842806,"(42.37153, -71.03884)"
MIAMI RESTAURANT,,Active,FS,Eating & Drinking,12/07/2006 01:35:04 PM,+16175224666,"(42.322337, -71.10927)"
Midway Cafe,,Active,FS,Eating & Drinking,12/07/2006 01:33:55 PM,+16175249038,"(42.306223, -71.107469)"
Miel Brasserie,,Active,FS,Eating & Drinking,03/31/2007 09:38:54 AM,+10000000000,"(42.3541, -71.05228)"
MIKE'S CITY DINER,,Active,FS,Eating & Drinking,12/07/2006 01:34:46 PM,+16172679393,"(42.336872, -71.07604)"
MIKE'S PASTRY INC.,,Active,FT,Eating & Drinking w/ Take Out,03/09/2009 08:29:18 AM,+16177423050,"(42.36424, -71.05427)"
Mikes Vending L L C @ Constitution Beach,,Active,FT,Eating & Drinking w/ Take Out,06/18/2009 01:26:53 PM,+15089229190,"(42.38588, -71.00682)"
MILANO'S DELI,,Active,FS,Eating & Drinking,12/07/2006 01:36:16 PM,+16175906501,"(42.387008, -71.007351)"
MILK ST CAFE,,Active,FS,Eating & Drinking,12/07/2006 01:34:08 PM,+16175423663,"(42.35701, -71.05761)"
Millenium Restaurant & Grill,,Active,FS,Eating & Drinking,05/06/2010 12:49:39 PM,+16175220505,"(42.315112, -71.098639)"
Millennium Bostonian Hotel,,Active,FS,Eating & Drinking,12/07/2006 01:34:04 PM,+16175233600,"(42.360691, -71.056346)"
MILNER HOTEL,,Active,FS,Eating & Drinking,12/07/2006 01:35:12 PM,+16174266220,"(42.349981, -71.066419)"
Minina's Cafe,,Active,FT,Eating & Drinking w/ Take Out,11/09/2010 09:51:26 AM,+16172653931,"(42.30059, -71.06637)"
